Sign,Name,Description
string,string,string
标识,名字,描述
Behaviour_Input_AlignCameraMovement,对齐相机移动,对齐相机移动
Behaviour_Input_MoveRelativeToWorldCoordinates,相对世界坐标移动,相对世界坐标移动
Behaviour_Auto_FollowPlayer,跟随玩家,跟随玩家
Behaviour_Event_BeginTimeline,播放开始时间轴,播放开始时间轴
Behaviour_Auto_Rotate,自动跟随鼠标旋转,自动跟随鼠标旋转
Behaviour_Auto_Gravity,重力,重力
Behaviour_Input_Sprint,输入冲刺,输入冲刺
Behaviour_Auto_SelfDetonationAttack,自杀攻击,自杀攻击
Behaviour_Auto_Knockback,击退,击退
Behaviour_Auto_TriggerCharge,触发充能,触发充能
Behaviour_Auto_TriggerHealth,触发回血,触发回血
Behaviour_Event_RobotCreator,机器人创建器,机器人创建器
Behaviour_Trigger_ChargeStartGame,开始游戏充能,开始游戏充能
Behaviour_Event_LevelUpgrade,关卡难度选择器,关卡难度选择器
Behaviour_Auto_Motion,自动移动,自动移动
Behaviour_Auto_DropExperience,自动死亡掉落,自动死亡掉落
Behaviour_Auto_Pick,自动拾取,自动拾取
Behaviour_Event_ActivableCreator,可激活创建,可激活创建
Behaviour_Trigger_Activable,可激活激活,可激活激活
Behaviour_Event_GameOver,游戏结束检测,游戏结束检测
Behaviour_Auto_PlayerUpgrade,玩家升级事件,玩家升级事件
Behaviour_Auto_PlayerBeHit,玩家受到伤害,玩家受到伤害
Behaviour_Event_Settlement,结算,结算
Behaviour_Auto_Submachinegun,冲锋枪,冲锋枪
Behaviour_Auto_Strafesatellite,扫射卫星,扫射卫星
Behaviour_Auto_Shotgun,霰弹枪,霰弹枪
Behaviour_Auto_Sniperrifle,狙击枪,狙击枪
Behaviour_Auto_Orbitingball,环绕球,环绕球
Behaviour_Auto_Ring,圆环,圆环
Behaviour_Auto_Laser,激光,激光
Behaviour_Auto_Grenade,手雷,手雷
Behaviour_Auto_BackgroundMusic,背景音乐,背景音乐
